category,series, exercise#,exercise,link,Embed link,duration
הגנה מכלי נשק,סכין קדימה,3,Tai Sabaki - בלימה יד שמאל,https://youtu.be/avu1B5ETs6U?t=32,https://www.youtube.com/embed/avu1B5ETs6U?start=32,5
הגנה מכלי נשק,סכין קדימה,4,"גלגול (Soto Makikomi) - כניסה לימין, בלימה שמאל + אגרוף, ריתוק ראשון הפוך",https://youtu.be/BFKcSTjTDZA?t=67,https://www.youtube.com/embed/BFKcSTjTDZA?start=67,
הגנה מכלי נשק,סכין מלמעלה,1,התחמקות מתחת לסכין,https://youtu.be/J3Ms7S6-YLQ?t=19,https://www.youtube.com/embed/J3Ms7S6-YLQ?start=19,3
הגנה מכלי נשק,סכין מלמעלה,2,התחמקות + הסטה,https://youtu.be/J3Ms7S6-YLQ?t=29,https://www.youtube.com/embed/J3Ms7S6-YLQ?start=29,5
הגנה מכלי נשק,סכין מלמעלה,3,"מנוף (רגל שמאל, יד שמאל בולמת+ אגרוף)",https://youtu.be/J3Ms7S6-YLQ?t=45,https://www.youtube.com/embed/J3Ms7S6-YLQ?start=45,13
הגנה מכלי נשק,סכין מלמעלה,4,"טאי סבקי (רגל שמאל, יד ימין בולמת + אגרוף), יד שמאל מלמעלה",https://youtu.be/J3Ms7S6-YLQ?t=87,https://www.youtube.com/embed/J3Ms7S6-YLQ?start=87,
הגנה מכלי נשק,סכין מלמעלה,5,"חרב (רגל שמאל, יד שמאל בולמת + אגרוף)",https://youtu.be/kH-kV92eN6Q?t=25,https://www.youtube.com/embed/kH-kV92eN6Q?start=25,14
הגנה מכלי נשק,סכין מלמטה,1,בירכיות (יד שמאל בולמת),https://youtu.be/EMpXojuv9Io?t=1,https://www.youtube.com/embed/EMpXojuv9Io?start=1,14
הגנה מכלי נשק,סכין מלמטה,2,"Tai Sabaki (יד ימין בולמת), סיבוב פנימה",https://youtu.be/EMpXojuv9Io?t=55,https://www.youtube.com/embed/EMpXojuv9Io?start=55,8
הגנה מכלי נשק,סכין מלמטה,3,"שורש כף יד (יד שמאל בולמת), סיבוב החוצה, ומשיכה של שורש כף היד לרצפה",https://youtu.be/Eth4Rpbv6g8?t=18,https://www.youtube.com/embed/Eth4Rpbv6g8?start=18,
הגנה מכלי נשק,סכין מלמטה,4,"מנוף (יד ימין בולמת), שבירה על הכתף",https://youtu.be/Eth4Rpbv6g8?t=66,https://www.youtube.com/embed/Eth4Rpbv6g8?start=66,18
הגנה מכלי נשק,הגנה ממקל,1,הפלה מהגרון,https://youtu.be/9mouMeYyI1g?t=2,https://www.youtube.com/embed/9mouMeYyI1g?start=2,7
הגנה מכלי נשק,הגנה ממקל,2,הפלה מהעורף + חניקה,https://youtu.be/9mouMeYyI1g?t=11,https://www.youtube.com/embed/9mouMeYyI1g?start=11,13
הגנה מכלי נשק,הגנה ממקל,3,Tai Sabaki,https://youtu.be/9mouMeYyI1g?t=30,https://www.youtube.com/embed/9mouMeYyI1g?start=30,21
הגנה מכלי נשק,הגנה ממקל,4,Kubi-Nage,https://youtu.be/9mouMeYyI1g?t=60,https://www.youtube.com/embed/9mouMeYyI1g?start=60,15
הגנה מכלי נשק,הגנה ממקל,5,Osoto Gari,https://youtu.be/9mouMeYyI1g?t=77,https://www.youtube.com/embed/9mouMeYyI1g?start=77,8
הגנה מכלי נשק,הגנה ממקל,6,בריח על המרפק,https://youtu.be/n_TahEGuZns?t=1,https://www.youtube.com/embed/n_TahEGuZns?start=1,12
הגנה מכלי נשק,הגנה מאקדח,1,אקדח למצח,https://youtu.be/0y3fvcW9HE0?t=1181,https://www.youtube.com/embed/0y3fvcW9HE0?start=1181,5
הגנה מכלי נשק,הגנה מאקדח,2,"אקדח לחזה שמאל, תפיסה, טאי סבקי",https://youtu.be/0y3fvcW9HE0?t=1190,https://www.youtube.com/embed/0y3fvcW9HE0?start=1190,
הגנה מכלי נשק,הגנה מאקדח,3,"אקדח לחזה ימין, תפיסה, טאי סבקי",https://youtu.be/0y3fvcW9HE0?t=1197,https://www.youtube.com/embed/0y3fvcW9HE0?start=1197,
הגנה מכלי נשק,הגנה מאקדח,4,אקדח לגב לשמאל ,https://youtu.be/0y3fvcW9HE0?t=1204,https://www.youtube.com/embed/0y3fvcW9HE0?start=1204,6
הגנה מכלי נשק,הגנה מאקדח,5,אקדח לגב לימין,https://youtu.be/0y3fvcW9HE0?t=1215,https://www.youtube.com/embed/0y3fvcW9HE0?start=1215,6
הגנה מבעיטה,הגנה בעיטה Mae Geri,1,הגנה לשמאל (1) - הפלה לאחור,https://youtu.be/R-1sSOy2PY8?t=11,https://www.youtube.com/embed/R-1sSOy2PY8?start=11,8
הגנה מבעיטה,הגנה בעיטה Mae Geri,2,הגנה לשמאל (2) - ירך,https://youtu.be/R-1sSOy2PY8?t=21,https://www.youtube.com/embed/R-1sSOy2PY8?start=21,8
הגנה מבעיטה,הגנה בעיטה Mae Geri,3,הגנה לימין - Ouchi gari ,https://youtu.be/FdB9I0jOssU?t=25,https://www.youtube.com/embed/FdB9I0jOssU?start=25,6
הגנה מבעיטה,הגנה בעיטה Mae Geri,4,הגנה לימין - Ouchi-mata,https://youtu.be/FdB9I0jOssU?t=51,https://www.youtube.com/embed/FdB9I0jOssU?start=51,7
הגנה מבעיטה,הגנה Mawashi Geri,1,הגנה לימין - Kubi-Nage,https://youtu.be/R7r0zBIMNjw?t=4,https://www.youtube.com/embed/R7r0zBIMNjw?start=4,9
הגנה מבעיטה,הגנה Mawashi Geri,2,"משיכת רגל, קיפול רגל יריב עם אגרוף בגומץ הברך - High kick",https://youtu.be/R7r0zBIMNjw?t=43,https://www.youtube.com/embed/R7r0zBIMNjw?start=43,17
ג'ודו,הטלות מותן,1,O-Ghosi,https://youtu.be/11ihjTVxb-Q?t=1,https://www.youtube.com/embed/11ihjTVxb-Q?start=1,9
ג'ודו,הטלות מותן,2,  Kubi-Nage,https://youtu.be/11ihjTVxb-Q?t=10,https://www.youtube.com/embed/11ihjTVxb-Q?start=10,11
ג'ודו,הטלות מותן,3,Tsuri-Goshi,https://youtu.be/11ihjTVxb-Q?t=22,https://www.youtube.com/embed/11ihjTVxb-Q?start=22,12
ג'ודו,הטלות מותן,4,Goshi-Garome,https://youtu.be/11ihjTVxb-Q?t=40,https://www.youtube.com/embed/11ihjTVxb-Q?start=40,10
ג'ודו,הטלות מותן,5,Harai-goshi,https://youtu.be/11ihjTVxb-Q?t=54,https://www.youtube.com/embed/11ihjTVxb-Q?start=54,13
ג'ודו,הטלות מותן,6,Hane-goshi,https://youtu.be/11ihjTVxb-Q?t=83,https://www.youtube.com/embed/11ihjTVxb-Q?start=83,16
ג'ודו,הטלות מותן,7,Ouchi-mata,https://youtu.be/11ihjTVxb-Q?t=115,https://www.youtube.com/embed/11ihjTVxb-Q?start=115,17
ג'ודו,הטלות כתף,1,Ippon-seoi-nage,https://youtu.be/2M2Ob8DFJaU?t=6,https://www.youtube.com/embed/2M2Ob8DFJaU?start=6,9
ג'ודו,הטלות כתף,2,Seoi-Nage,https://youtu.be/2M2Ob8DFJaU?t=18,https://www.youtube.com/embed/2M2Ob8DFJaU?start=18,11
ג'ודו,הטלות כתף,3,Hane-Seoi-Nage,https://youtu.be/2M2Ob8DFJaU?t=43,https://www.youtube.com/embed/2M2Ob8DFJaU?start=43,10
ג'ודו,הפלות רגליים,1,O-soto-gari,https://youtu.be/J1Qy_mzZw9I?t=17,https://www.youtube.com/embed/J1Qy_mzZw9I?start=17,9
ג'ודו,הפלות רגליים,2,De-ashi-barai,https://youtu.be/J1Qy_mzZw9I?t=30,https://www.youtube.com/embed/J1Qy_mzZw9I?start=30,10
ג'ודו,הפלות רגליים,3,Hiza-guruma,https://youtu.be/J1Qy_mzZw9I?t=44,https://www.youtube.com/embed/J1Qy_mzZw9I?start=44,10
ג'ודו,הפלות רגליים,4,Ko-soto-gari,https://youtu.be/J1Qy_mzZw9I?t=58,https://www.youtube.com/embed/J1Qy_mzZw9I?start=58,7
ג'ודו,הפלות רגליים,5,O-uchi-gari,https://youtu.be/J1Qy_mzZw9I?t=68,https://www.youtube.com/embed/J1Qy_mzZw9I?start=68,9
ג'ודו,הפלות רגליים,6,Ko-uchi-gari,https://youtu.be/J1Qy_mzZw9I?t=80,https://www.youtube.com/embed/J1Qy_mzZw9I?start=80,8
ג'ודו,זרוע,1,טאי סבקי לטאי אוטושי,,,
שבירות והמשכים,שבירות והמשכים ,1, juji- מעבר ל-juji הפוך + כימורה בין הרגליים,https://youtu.be/RzFiHGpLweY?t=136,https://www.youtube.com/embed/RzFiHGpLweY?start=136,12
שבירות והמשכים,שבירות והמשכים ,2," juji- חניקה עם רגל שמאל, שבירת מרפק ומעבר לאופנוע",https://youtu.be/JpA40aYDyXM?t=121,https://www.youtube.com/embed/JpA40aYDyXM?start=121,34
שבירות והמשכים,שבירות והמשכים ,3,הטלה - שבירת מרפק (*2) הפיכה ל-juji,https://youtu.be/JpA40aYDyXM?t=42,https://www.youtube.com/embed/JpA40aYDyXM?start=42,37
שבירות והמשכים,שבירות והמשכים ,4,"Tai Sabaki\הטלה - מסביב לברך, שבירת יד בין רגליים פנים אחורה",https://youtu.be/wjYkbQK7pDw?t=4,https://www.youtube.com/embed/wjYkbQK7pDw?start=4,10
שבירות והמשכים,שבירות והמשכים ,5,הטלה - שבירת מרפק ומעבר לגולף הפוך,https://youtu.be/zwUKVRC9N4U?t=70,https://www.youtube.com/embed/zwUKVRC9N4U?start=70,27
שבירות והמשכים,שבירות והמשכים ,6,"הטלה ממנוף - אמריקנה, אגרוף שמאל, מעל לאמה, ומתחת לגומץ לשוטר עם בריח שמאל",https://youtu.be/-QgHq7dSYn4?t=102,https://www.youtube.com/embed/-QgHq7dSYn4?start=102,
שבירות והמשכים,שבירות והמשכים ,7,"Tai Sabaki\מנוף - הפיכה, קיפול ידים ויציאה בגלגול ",https://youtu.be/wjYkbQK7pDw?t=24,https://www.youtube.com/embed/wjYkbQK7pDw?start=24,11
שבירות והמשכים,שבירות והמשכים ,8,"Tai Sabaki\מנוף - הפיכה, פנים לפנים, רגל שמאל מעל היד כימורה בין הרגליים",https://youtu.be/wjYkbQK7pDw?t=115,https://www.youtube.com/embed/wjYkbQK7pDw?start=115,
שבירות והמשכים,שבירות והמשכים ,9,"Tai Sabaki\מנוף - הפיכה, גולף",https://youtu.be/-QgHq7dSYn4?t=40,https://www.youtube.com/embed/-QgHq7dSYn4?start=40,24
שבירות והמשכים,שבירות והמשכים ,10,ארבע שבירות,https://youtu.be/hF8_KLbpD70?t=32,https://www.youtube.com/embed/hF8_KLbpD70?start=32,40
שבירות והמשכים,סיומות קלאסי,1,שבירה על הבטן,https://youtu.be/rJkTpu48iwE?t=39,https://www.youtube.com/embed/rJkTpu48iwE?start=39,9
שבירות והמשכים,סיומות קלאסי,2,ריתוק ראשון,https://youtu.be/UAwfPvCjJWQ?t=46,https://www.youtube.com/embed/UAwfPvCjJWQ?start=46,44
שבירות והמשכים,סיומות קלאסי,3,מעל למרפק שורש כף יד,https://youtu.be/LsPAmPpI6AQ?t=6,https://www.youtube.com/embed/LsPAmPpI6AQ?start=6,11
שבירות והמשכים,סיומות קלאסי,4, מעל למרפק אצבעות,https://youtu.be/USQirtqBYvc?t=75,https://www.youtube.com/embed/USQirtqBYvc?start=75,14
שבירות והמשכים,סיומות קלאסי,5," ""ר""",https://youtu.be/34ZBsoxZjXI?t=62,https://www.youtube.com/embed/34ZBsoxZjXI?start=62,20
תפיסות בגדים,תפיסת בגדים כתף,1,ניתוק שורש כף יד,https://youtu.be/sdp1J7SrHsM?t=2,https://www.youtube.com/embed/sdp1J7SrHsM?start=2,99
תפיסות בגדים,תפיסת בגדים כתף,2,תקיפת מרפק,https://youtu.be/sdp1J7SrHsM?t=13,https://www.youtube.com/embed/sdp1J7SrHsM?start=13,99
תפיסות בגדים,תפיסת בגדים כתף,3,Osoto Gari,https://youtu.be/drvekJDZbR8,https://www.youtube.com/embed/drvekJDZbR8,99
תפיסות בגדים,תפיסת בגדים כתף,4,Tai Sabaki,https://youtu.be/drvekJDZbR8?t=6,https://www.youtube.com/embed/drvekJDZbR8?start=6,99
תפיסות בגדים,תפיסת בגדים כתף,5,שוטר ראשון,https://youtu.be/drvekJDZbR8?t=14,https://www.youtube.com/embed/drvekJDZbR8?start=14,99
תפיסות בגדים,תפיסת בגדים כתף,6,שוטר שני,https://youtu.be/drvekJDZbR8?t=23,https://www.youtube.com/embed/drvekJDZbR8?start=23,99
תפיסות בגדים,תפיסת בגדים כתף,7,קלאסי,https://youtu.be/drvekJDZbR8?t=32,https://www.youtube.com/embed/drvekJDZbR8?start=32,99
תפיסות בגדים,תפיסת בגדים בטן,1,שוטר,https://youtu.be/w3UPvu43bKA?t=8,https://www.youtube.com/embed/w3UPvu43bKA?start=8,99
תפיסות בגדים,תפיסת בגדים בטן,2,Tai Sabaki,https://youtu.be/w3UPvu43bKA?t=79,https://www.youtube.com/embed/w3UPvu43bKA?start=79,99
תפיסות בגדים,תפיסת בגדים בטן,3,ריתוק שורש כף היד,https://youtu.be/tXswGVJ8owk,https://www.youtube.com/embed/tXswGVJ8owk,99
תפיסות בגדים,תפיסת בגדים בטן,4,בריח על מפרק (תרגיל שני סדרה שניה),https://youtu.be/tXswGVJ8owk?t=48,https://www.youtube.com/embed/tXswGVJ8owk?start=48,99
תפיסות בגדים,תפיסת בגדים חזה,1,Tai Sabaki,https://youtu.be/5kHBARRENrk?t=1,https://www.youtube.com/embed/5kHBARRENrk?start=1,99
תפיסות בגדים,תפיסת בגדים חזה,2,הטלת כתף Ippon-seoi-nage,https://youtu.be/5kHBARRENrk?t=14,https://www.youtube.com/embed/5kHBARRENrk?start=14,99
תפיסות בגדים,תפיסת בגדים חזה,3,שוטר שני,https://youtu.be/5kHBARRENrk?t=35,https://www.youtube.com/embed/5kHBARRENrk?start=35,99
תפיסות בגדים,תפיסת בגדים חזה,4,קלאסי,https://youtu.be/5kHBARRENrk?t=45,https://www.youtube.com/embed/5kHBARRENrk?start=45,99
