category,series, exercise#,exercise,link,Embed link,duration
תפיסות ידים,תפיסות ידים מלמעלה,2,משיכת יד שמאל + אגרוף,https://youtu.be/IogVMWRxuSQ?t=6,https://www.youtube.com/embed/IogVMWRxuSQ?start=6,5
תפיסות ידים,תפיסות ידים מלמעלה,3,כניסה למנוף,https://youtu.be/IogVMWRxuSQ?t=19,https://www.youtube.com/embed/IogVMWRxuSQ?start=19,12
תפיסות ידים,תפיסות ידים מלמעלה,4,כניסה Ippon-seoi-nage ממנוף,https://youtu.be/IogVMWRxuSQ?t=65,https://www.youtube.com/embed/IogVMWRxuSQ?start=65,26
תפיסות ידים,תפיסות ידים מלמעלה,5,בורג,https://youtu.be/rJkTpu48iwE?t=7,https://www.youtube.com/embed/rJkTpu48iwE?start=7,11
תפיסות ידים,תפיסות ידים מלמעלה,6,קלאסי (מרפק למרפק),https://youtu.be/rJkTpu48iwE?t=29,https://www.youtube.com/embed/rJkTpu48iwE?start=29,19
תפיסות ידים,תפיסות ידים מאחור,1,טורקי קטן ,https://youtu.be/fiugpSZrE-g?t=2,https://www.youtube.com/embed/fiugpSZrE-g?start=2,10
תפיסות ידים,תפיסות ידים מאחור,2,טורקי גדול ,https://youtu.be/fiugpSZrE-g?t=13,https://www.youtube.com/embed/fiugpSZrE-g?start=13,6
תפיסות ידים,תפיסות ידים מאחור,3,Tani-Otoshi,https://youtu.be/fiugpSZrE-g?t=39,https://www.youtube.com/embed/fiugpSZrE-g?start=39,17
תפיסות ידים,תפיסות ידים מאחור,4,Tai Sabaki,https://youtu.be/USQirtqBYvc,https://www.youtube.com/embed/USQirtqBYvc,10
תפיסות ידים,תפיסות ידים מאחור,5,יוקו וגלגול,https://youtu.be/USQirtqBYvc?t=14,https://www.youtube.com/embed/USQirtqBYvc?start=14,19
תפיסות ידים,תפיסות ידים מאחור,6,יוקו קלאסי,https://youtu.be/USQirtqBYvc?t=62,https://www.youtube.com/embed/USQirtqBYvc?start=62,28
תפיסות ידים,תפיסות ידים מאחור,7,בורג,https://youtu.be/Xp5cq9ZO9y8?t=13,https://www.youtube.com/embed/Xp5cq9ZO9y8?start=13,14
חניקות,חניקה מלפנים ,1,דחיפה ,https://youtu.be/9nQhR6-v4L0?t=1,https://www.youtube.com/embed/9nQhR6-v4L0?start=1,7
חניקות,חניקה מלפנים ,2,ברך,https://youtu.be/9nQhR6-v4L0?t=11,https://www.youtube.com/embed/9nQhR6-v4L0?start=11,7
חניקות,חניקה מלפנים ,3,ברך לראש,https://youtu.be/9nQhR6-v4L0?t=19,https://www.youtube.com/embed/9nQhR6-v4L0?start=19,4
חניקות,חניקה מלפנים ,4,מרפקים ,https://youtu.be/9nQhR6-v4L0?t=25,https://www.youtube.com/embed/9nQhR6-v4L0?start=25,14
חניקות,חניקה מלפנים ,5,קומבינציה,https://youtu.be/9nQhR6-v4L0?t=40,https://www.youtube.com/embed/9nQhR6-v4L0?start=40,15
חניקות,חניקה מלפנים ,6,Osoto Gari,https://youtu.be/JpA40aYDyXM,https://www.youtube.com/embed/JpA40aYDyXM,11
חניקות,חניקה מלפנים ,7,Kobi Nage ,https://youtu.be/JpA40aYDyXM?t=98,https://www.youtube.com/embed/JpA40aYDyXM?start=98,14
חניקות,חניקה מלפנים ,8,קלאסי,https://youtu.be/UAwfPvCjJWQ?t=12,https://www.youtube.com/embed/UAwfPvCjJWQ?start=12,15
חניקות,חניקה מלפנים ,9,פתיחה 1 (Tai Sabaki),https://youtu.be/-QgHq7dSYn4?t=5,https://www.youtube.com/embed/-QgHq7dSYn4?start=5,22
חניקות,חניקה מלפנים ,10,פתיחה 2 (מנוף),https://youtu.be/-QgHq7dSYn4?t=31,https://www.youtube.com/embed/-QgHq7dSYn4?start=31,11
חניקות,חניקה מלפנים ,11,פתיחה 3 (הטלה ממנוף),https://youtu.be/-QgHq7dSYn4?t=87,https://www.youtube.com/embed/-QgHq7dSYn4?start=87,36
חניקות,חניקה מלפנים ,12,שוטר 1,https://youtu.be/Mkdvf0j19vk?t=62,https://www.youtube.com/embed/Mkdvf0j19vk?start=62,27
חניקות,חניקה מלפנים ,13,שוטר 2,https://youtu.be/Mkdvf0j19vk?t=62,https://www.youtube.com/embed/Mkdvf0j19vk?start=62,43
חניקות,חניקה מלפנים ,14,שוטר 3,https://youtu.be/Mkdvf0j19vk?t=110,https://www.youtube.com/embed/Mkdvf0j19vk?start=110,70
חניקות,חניקה מאחור ,1,דריכה,https://youtu.be/VIMnpnE8ciI?t=17,https://www.youtube.com/embed/VIMnpnE8ciI?start=17,3
חניקות,חניקה מאחור ,2,אשכים,https://youtu.be/VIMnpnE8ciI?t=20,https://www.youtube.com/embed/VIMnpnE8ciI?start=20,5
חניקות,חניקה מאחור ,3,שבירת אגודלים,https://youtu.be/VIMnpnE8ciI?t=25,https://www.youtube.com/embed/VIMnpnE8ciI?start=25,9
חניקות,חניקה מאחור ,4,מרפקים ,https://youtu.be/VIMnpnE8ciI?t=39,https://www.youtube.com/embed/VIMnpnE8ciI?start=39,9
חניקות,חניקה מאחור ,5,ריקוד,https://youtu.be/VIMnpnE8ciI?t=51,https://www.youtube.com/embed/VIMnpnE8ciI?start=51,9
חניקות,חניקה מאחור ,6,Ippon Seoi Nage,https://youtu.be/VIMnpnE8ciI?t=63,https://www.youtube.com/embed/VIMnpnE8ciI?start=63,21
חניקות,חניקה מאחור ,7,מנוף,https://youtu.be/hF8_KLbpD70?t=7,https://www.youtube.com/embed/hF8_KLbpD70?start=7,23
חניקות,חניקה מאחור ,8,חרב,https://youtu.be/hF8_KLbpD70?t=82,https://www.youtube.com/embed/hF8_KLbpD70?start=82,12
חניקות,חניקה מאחור ,9,שבירת רגל (חצי ריקוד עם המשך),https://youtu.be/VIMnpnE8ciI?t=87,https://www.youtube.com/embed/VIMnpnE8ciI?start=92,24
חניקות,חניקה מאחור ,10,הטלת שתי ידים מעבר לכתף + המשך,https://youtu.be/olrAEswx2uA?t=14,https://www.youtube.com/embed/olrAEswx2uA?start=14,41
חניקות,חניקה מאחור ,11,שבירת ידים בהצלבה,https://youtu.be/olrAEswx2uA?t=118,https://www.youtube.com/embed/olrAEswx2uA?start=118,11
חניקות,חניקות מהצד ,1,אשכים,https://youtu.be/qdJD5I5Yeso?t=1,https://www.youtube.com/embed/qdJD5I5Yeso?start=1,4
חניקות,חניקות מהצד ,2,דחיפה ,https://youtu.be/qdJD5I5Yeso?t=5,https://www.youtube.com/embed/qdJD5I5Yeso?start=5,3
